date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:41	3448/3448	---M-Z	200	added ('OK')	text/html	etag:%22d78-66357991-d71ac828e4446c3d;gz%22	https://sterlingorthoivf.in/book-appointment.html	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/book-appointment.html	(from https://sterlingorthoivf.in/)
14:08:42	92798/92798	---M--	200	added ('OK')	image/jpeg	etag:%2216a7e-65ea466b-e84bc13305bf0df4;;;%22	https://sterlingorthoivf.in/slider3.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/slider3.jpg	(from https://sterlingorthoivf.in/)
14:08:43	727946/727946	---M--	200	added ('OK')	image/jpeg	etag:%22b1b8a-65ea4679-fea59944bb8c48a9;;;%22	https://sterlingorthoivf.in/slider1.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/slider1.jpg	(from https://sterlingorthoivf.in/)
14:08:43	20557/20557	---M--	200	added ('OK')	image/jpeg	etag:%22504d-663e8b0f-1a033e8498a394d4;;;%22	https://sterlingorthoivf.in/p1.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/p1.jpg	(from https://sterlingorthoivf.in/)
14:08:43	4657045/4657045	---M--	200	added ('OK')	image/jpeg	etag:%22470f95-663756c6-aa0a9668870bea28;;;%22	https://sterlingorthoivf.in/h5.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/h5.jpg	(from https://sterlingorthoivf.in/)
14:08:43	53772/53772	---M--	200	added ('OK')	image/jpeg	etag:%22d20c-66341fb1-595b28dd81bd970;;;%22	https://sterlingorthoivf.in/c4.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/c4.jpg	(from https://sterlingorthoivf.in/)
14:08:43	44103/44103	---M--	200	added ('OK')	image/jpeg	etag:%22ac47-6634210d-7e8792a624ebf543;;;%22	https://sterlingorthoivf.in/p3.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/p3.jpg	(from https://sterlingorthoivf.in/)
14:08:43	107520/107520	---M--	200	added ('OK')	image/jpeg	etag:%221a400-6634a085-adc837df4755905b;;;%22	https://sterlingorthoivf.in/m1.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/m1.jpg	(from https://sterlingorthoivf.in/)
14:08:44	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/Hopsital/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://sterlingorthoivf.in/)
14:08:44	60044/60044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2202d223393e00c273efdcb1ade8f4f8b1%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/My%20Web%20Sites/Hopsital/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://sterlingorthoivf.in/)
14:08:44	44103/44103	---M--	200	added ('OK')	image/jpeg	etag:%22ac47-66341f25-dff16d26bcad084f;;;%22	https://sterlingorthoivf.in/c1.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/c1.jpg	(from https://sterlingorthoivf.in/services.html)
14:08:45	75633/75633	---M--	200	added ('OK')	image/jpeg	etag:%2212771-66341f26-d14fba367da7a3eb;;;%22	https://sterlingorthoivf.in/c2.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/c2.jpg	(from https://sterlingorthoivf.in/services.html)
14:08:45	883925/883925	---M--	200	added ('OK')	image/jpeg	etag:%22d7cd5-66341f2e-481088c74ac3b0fc;;;%22	https://sterlingorthoivf.in/c3.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/c3.jpg	(from https://sterlingorthoivf.in/services.html)
14:08:45	38035/38035	---M--	200	added ('OK')	image/jpeg	etag:%229493-66342061-8ace3fcbbd057dc6;;;%22	https://sterlingorthoivf.in/c5.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/c5.jpg	(from https://sterlingorthoivf.in/services.html)
14:08:45	86853/86853	---M--	200	added ('OK')	image/jpeg	etag:%2215345-6637541b-2934639d707a9506;;;%22	https://sterlingorthoivf.in/d2.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/d2.jpg	(from https://sterlingorthoivf.in/doctors.html)
14:08:46	137602/137602	---M--	200	added ('OK')	image/jpeg	etag:%2221982-6637541f-466587ea86f74364;;;%22	https://sterlingorthoivf.in/d1.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/d1.jpg	(from https://sterlingorthoivf.in/doctors.html)
14:08:46	80420/80420	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a24-kNFQNu9I/LM2oTW66BK0VmnxkEQ%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Hopsital/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	(from https://sterlingorthoivf.in/gallery.html)
14:08:46	99900/99900	---M--	200	added ('OK')	image/jpeg	etag:%221863c-663e8090-ffc37be3b72fb210;;;%22	https://sterlingorthoivf.in/h1.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/h1.jpg	(from https://sterlingorthoivf.in/gallery.html)
14:08:47	189101/189101	---M--	200	added ('OK')	image/jpeg	etag:%222e2ad-663e860a-2ebbedd5b61081a1;;;%22	https://sterlingorthoivf.in/h3.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/h3.jpg	(from https://sterlingorthoivf.in/gallery.html)
14:08:47	5585896/5585896	---M--	200	added ('OK')	image/jpeg	etag:%22553be8-6637571b-e7a1a9714516a7a5;;;%22	https://sterlingorthoivf.in/h2.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/h2.jpg	(from https://sterlingorthoivf.in/gallery.html)
14:08:47	67093/67093	---M--	200	added ('OK')	image/jpeg	etag:%2210615-65ea4643-1b08e0f0f8cd12b7;;;%22	https://sterlingorthoivf.in/h4.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/h4.jpg	(from https://sterlingorthoivf.in/gallery.html)
14:08:48	211579/211579	---M--	200	added ('OK')	image/jpeg	etag:%2233a7b-663e8555-c717e61c522a412c;;;%22	https://sterlingorthoivf.in/h8.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/h8.jpg	(from https://sterlingorthoivf.in/gallery.html)
14:08:48	2393299/2393299	---M--	200	added ('OK')	image/jpeg	etag:%222484d3-663756c9-e57159054efdd73;;;%22	https://sterlingorthoivf.in/h7.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/h7.jpg	(from https://sterlingorthoivf.in/gallery.html)
14:08:48	4965880/4965880	---M--	200	added ('OK')	image/jpeg	etag:%224bc5f8-663756eb-942fd2b1514cb60b;;;%22	https://sterlingorthoivf.in/h6.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/h6.jpg	(from https://sterlingorthoivf.in/gallery.html)
14:08:49	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	C:/My%20Web%20Sites/Hopsital/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://sterlingorthoivf.in/gallery.html)
14:08:49	5127966/5127966	---M--	200	added ('OK')	image/jpeg	etag:%224e3f1e-66375685-2982c23c7e6bc49b;;;%22	https://sterlingorthoivf.in/h9.jpg	C:/My%20Web%20Sites/Hopsital/sterlingorthoivf.in/h9.jpg	(from https://sterlingorthoivf.in/gallery.html)
